Molecule ChEMBL ID,Smiles,pChEMBL Value,Comment
CHEMBL3736433,CB1C=Cc2cccc(OCC(O)CN(C)C)c2N1,,
CHEMBL4064809,COc1ccc(F)cc1C1CC1CNCc1ccccc1C#N.Cl,6.14,
CHEMBL4087858,COc1ccc(F)cc1C1CC1CNC1(c2ccccc2OC)CC1.Cl,6.18,
CHEMBL3589578,COc1cc(CCNCc2cccc3c2OCO3)c(OC)cc1Br,7.98,
CHEMBL3589595,COc1cc(CCNCc2cccc(OC)c2F)c(OC)cc1Br,6.98,
CHEMBL4777303,COc1ccc2c(c1[C@@H]1C[C@H]1CN)CCO2.O=C(O)C(F)(F)F,6.53,
CHEMBL4752604,Cl.NC[C@@H]1C[C@H]1c1c(OCC2CC2)ccc2occc12,,Not Active
CHEMBL4757214,Cl.NC[C@H]1C[C@@H]1c1c(OCC2CC2)ccc2occc12,6.34,
CHEMBL4759181,CC(C)Oc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,6.53,
CHEMBL222514,O=C1c2c(cccc2C(F)(F)F)[C@@H]2CNCCN12,6.75,Agonist
CHEMBL1091105,COc1cc(OC2CCC(C)(C)CC2)c(F)cc1CNC(=O)[C@@H]1CCCN1,6.36,
CHEMBL4065444,O=C(c1csc(-c2cccc(Cl)c2Cl)n1)N1CCOCC1,,
CHEMBL4096587,Cc1nn(-c2cccc3ccccc23)nc1C(=O)N1CCC(CO)CC1,,
CHEMBL3769633,C=CCOc1ccc(Cl)c(F)c1C1CC1CN.Cl,,Not Active
CHEMBL65547,CN(C)CCc1c[nH]c2cccc(O)c12,,
CHEMBL5173953,[2H]C1([2H])CC(c2c[nH]c3cccc(O)c23)C([2H])([2H])N1,,
CHEMBL3770225,COc1ccc(F)c(Cl)c1C1CC1CN.Cl,6.92,
CHEMBL5418999,Cl.Clc1cc2nc3c(nc2cc1Cl)[C@@H]1CCC(C3)N1,6.19,
CHEMBL4072722,COc1ccccc1CNC[C@H]1C[C@@H]1c1cc(F)ccc1OC.Cl,6.86,
CHEMBL4085380,COc1ccc(F)cc1[C@H]1C[C@@H]1CNCc1cccs1.Cl,6.36,
CHEMBL1643675,c1ccc(OC2CN(c3c4c(nc5ccnn35)CCNCC4)C2)cc1,5.11,
CHEMBL4753812,C=C(C)COc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,6.59,
CHEMBL4751981,COc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,7.43,
CHEMBL4782824,CCCOc1ccc2occc2c1[C@H]1C[C@@H]1CN.Cl,6.41,
CHEMBL3589594,COc1cc(CCNCc2c(OC)cccc2OC)c(OC)cc1Br,5.27,
CHEMBL170319,CNCCc1cn2c3c(cc(F)cc13)CCC2C,5.96,
CHEMBL4567689,O=C(c1ccc(N2CCN(Cc3ccccc3)CC2)cc1)C1CC1,7.42,
